station_name,parameter,value,unit,dateDébut,dateFin,latitude,longitude,station_id
Metz-Centre,NO,1.225,µg-m3,2026/01/01 00:00:00,2026/01/01 01:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.6,µg-m3,2026/01/01 01:00:00,2026/01/01 02:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.65,µg-m3,2026/01/01 02:00:00,2026/01/01 03:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.85,µg-m3,2026/01/01 03:00:00,2026/01/01 04:00:00,49.1193,6.1757,268
Metz-Centre,NO,1.05,µg-m3,2026/01/01 04:00:00,2026/01/01 05:00:00,49.1193,6.1757,268
Metz-Centre,NO,1.5,µg-m3,2026/01/01 05:00:00,2026/01/01 06:00:00,49.1193,6.1757,268
Metz-Centre,NO,1.275,µg-m3,2026/01/01 06:00:00,2026/01/01 07:00:00,49.1193,6.1757,268
Metz-Centre,NO,1.0,µg-m3,2026/01/01 07:00:00,2026/01/01 08:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.65,µg-m3,2026/01/01 08:00:00,2026/01/01 09:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.45,µg-m3,2026/01/01 09:00:00,2026/01/01 10:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.35,µg-m3,2026/01/01 10:00:00,2026/01/01 11:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.375,µg-m3,2026/01/01 11:00:00,2026/01/01 12:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.55,µg-m3,2026/01/01 12:00:00,2026/01/01 13:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.625,µg-m3,2026/01/01 13:00:00,2026/01/01 14:00:00,49.1193,6.1757,268
Metz-Centre,NO,1.075,µg-m3,2026/01/01 14:00:00,2026/01/01 15:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.8,µg-m3,2026/01/01 15:00:00,2026/01/01 16:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.85,µg-m3,2026/01/01 16:00:00,2026/01/01 17:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.9,µg-m3,2026/01/01 17:00:00,2026/01/01 18:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.625,µg-m3,2026/01/01 18:00:00,2026/01/01 19:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.725,µg-m3,2026/01/01 19:00:00,2026/01/01 20:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.53333,µg-m3,2026/01/01 20:00:00,2026/01/01 21:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.73333,µg-m3,2026/01/01 21:00:00,2026/01/01 22:00:00,49.1193,6.1757,268
Metz-Centre,NO,0.525,µg-m3,2026/01/01 22:00:00,2026/01/01 23:00:00,49.1193,6.1757,268
