Code;Nom;Description;Date d'entrée en service (à 00h00);Date de fin de service (à 00h00);Etat;Adresse;Code commune;Commune;Zas;Organisme;Longitude;Latitude;Altitude;Système de projection;Implantation;Culture dominante;Culture secondaire;Pourcentage vigne 5km;Pourcentage verger 5km;Pourcentage zones urbanisees 5km;Pourcentage grandes cultures 5km;Nombre d'habitants 5km;Pourcentage vigne 1km;Pourcentage verger 1km;Pourcentage zones urbanisees 1km;Pourcentage grandes cultures 1km;Nombre d'habitants 1km;Distance à la parcelle la plus proche (m)
FR01011;Metz-Centre;Agglomération de Metz - Centre (Récollets);01/01/1989;;En service;33 rue des murs Les Récollets;57463;METZ;ZAG METZ (FR44ZAG02);ATMO GRAND EST (31);6.180833;49.119442;192.0;World geometric system 1984;Urbaine;;;;;;;;;;;;;
FR01012;Metz-Borny;Agglomération de Metz - Est (Borny);01/01/1991;;En service;Impasse Charles et Louis Jacquard;57463;METZ;ZAG METZ (FR44ZAG02);ATMO GRAND EST (31);6.223336;49.110283;204.0;World geometric system 1984;Urbaine;;;;;;;;;;;;;
FR01014;Pont-à-Mousson;Agglomération de Pont-à-Mousson - Centre;01/09/1990;;En service;école Guynemer rue Maurice Barrès;54431;PONT-À-MOUSSON;ZR GRAND-EST (FR44ZRE01);ATMO GRAND EST (31);6.058336;48.915;179.0;World geometric system 1984;Urbaine;;;;;;;;;;;;;
FR01016;Atton;Vallée de la Moselle (Atton);01/07/1990;;En service;rue Scarponne;54027;ATTON;ZR GRAND-EST (FR44ZRE01);ATMO GRAND EST (31);6.093611;48.886387;203.0;World geometric system 1984;Rurale près des villes;;;;;;;;;;;;;
FR01018;Scy-Chazelles;Agglomération de Metz - Ouest (Scy-Chazelles);28/09/2000;;En service;Stade Municipal;57642;SCY-CHAZELLES;ZAG METZ (FR44ZAG02);ATMO GRAND EST (31);6.122775;49.107502;170.0;World geometric system 1984;Périurbaine;;;;;;;;;;;;;
FR01020;Thionville-Centre;Agglomération de Thionville - Centre;08/07/1999;;En service;stade Jeanne d Arc;57672;THIONVILLE;ZAG METZ (FR44ZAG02);ATMO GRAND EST (31);6.156942;49.358337;154.0;World geometric system 1984;Urbaine;;;;;;;;;;;;;
FR01021;Thionville-Garche;Agglomération de Thionville - Nord (Garche);29/12/2000;;En service;Rue des Quatre Seigneurs;57672;THIONVILLE;ZAG METZ (FR44ZAG02);ATMO GRAND EST (31);6.201392;49.394444;151.0;World geometric system 1984;Périurbaine;;;;;;;;;;;;;
FR01059;HAYANGE-MARSPICH;suivi des poussières fines sur le secteur d’Hayange et Serémange-Erzange;01/01/2013;;En service;rue du 6 juin 1944 - Ecole primaire;57306;HAYANGE;ZAG METZ (FR44ZAG02);ATMO GRAND EST (31);6.08207;49.3374;197.0;World geometric system 1984;Périurbaine;;;;;;;;;;;;;
FR01064;Metz- Pont Grilles;;17/07/2013;;En service;Pont des Grilles;57463;METZ;ZAG METZ (FR44ZAG02);ATMO GRAND EST (31);6.181219;49.12508;164.0;World geometric system 1984;Urbaine;;;;;;;;;;;;;
FR01065;Belleville sur Meuse;;10/01/2014;;En service;Avenue Miribel;55043;BELLEVILLE-SUR-MEUSE;ZR GRAND-EST (FR44ZRE01);ATMO GRAND EST (31);5.387461;49.16778;195.0;World geometric system 1984;Urbaine;;;;;;;;;;;;;
FR02001;Berre l'Etang;Centre ville à côté du stade et de la piscine avenue Maurice Thorez proximité raffinage usines chimiques incinérateur déchets industriels. Terrain plat proximité Etang de Berre.;01/11/1981;;En service;Stade Roger Martin;13014;BERRE-L'ÉTANG;ZAG MARSEILLE-AIX (FR93ZAG01);ATMO SUD (05);5.171939;43.486234;6.0;World geometric system 1984;Périurbaine;;;;;;;;;;;;;
FR02004;Martigues P. Central;Siège de l association. Colline ventée. Proximité industrielle usines chimiques de Lavéra.;01/10/1976;;En service;Route de la Vierge;13056;MARTIGUES;ZAG MARSEILLE-AIX (FR93ZAG01);ATMO SUD (05);5.042731;43.416661;107.0;World geometric system 1984;Urbaine;;;;;;;;;;;;;
FR02008;Port de Bouc Leque;Caserne des marins pompiers centre ville. Proximité de la mer. Proximité Complexe de Lavera. Proximité complexe industriel de Fos-sur-mer et Port Autonome de Marseille.;01/10/1976;;En service;Caserne des Marins Pompiers;13077;PORT-DE-BOUC;ZAG MARSEILLE-AIX (FR93ZAG01);ATMO SUD (05);4.981919;43.401952;3.0;World geometric system 1984;Urbaine;;;;;;;;;;;;;
FR02011;Fos sur Mer;Station installée en hauteur dans la partie médiévale de Fos sur Mer. Complexe industriel de Fos-sur-mer et dépôts pétroliers à proximité. Proximité du Port Autonome de Fos (Pétrolier minéralier).;01/09/1976;;En service;Rue LHauture;13039;FOS-SUR-MER;ZAG MARSEILLE-AIX (FR93ZAG01);ATMO SUD (05);4.945116;43.437858;21.0;World geometric system 1984;Périurbaine;;;;;;;;;;;;;
FR02013;Fos Les Carabins;Station dans les nouveaux quartiers de Fos sur Mer. Installée dans l ancienne chaufferie d un gymnase. A proximité d un terrain de jeu de boules. Proximité complexe industriel et Dépôts pétroliers de Fos.;09/06/1997;;En service;Chemin du Gari;13039;FOS-SUR-MER;ZAG MARSEILLE-AIX (FR93ZAG01);ATMO SUD (05);4.934572;43.458927;4.0;World geometric system 1984;Périurbaine;;;;;;;;;;;;;
FR02020;Rognac les Brets;Station construite spécialement dans une école. Proximité complexe de Berre incinérateur industriel et stockage produits pétroliers.;01/02/1982;;En service;Ecole Gerald Kraemer;13081;ROGNAC;ZAG MARSEILLE-AIX (FR93ZAG01);ATMO SUD (05);5.220046;43.510802;48.0;World geometric system 1984;Périurbaine;;;;;;;;;;;;;
FR02021;Sausset les Pins;Station au 3ème étage du parc d activités et de loisirs. Zone touristique proximité de la mer. Sous les vents d une raffinerie.;01/02/1989;;En service;Avenue de la Cote Bleue;13104;SAUSSET-LES-PINS;ZAG MARSEILLE-AIX (FR93ZAG01);ATMO SUD (05);5.117696;43.331245;11.0;World geometric system 1984;Périurbaine;;;;;;;;;;;;;
FR02022;Arles;;01/05/1986;;En service;7 Boulevard des Lices;13004;ARLES;ZR PROVENCE-ALPES-COTE-D-AZUR (FR93ZRE02);ATMO SUD (05);4.62921;43.675114;10.0;World geometric system 1984;Urbaine;;;;;;;;;;;;;
FR02028;Martigues Lavera;;30/09/2004;;En service;Ecole Avenue Raymond Simi;13056;MARTIGUES;ZAG MARSEILLE-AIX (FR93ZAG01);ATMO SUD (05);5.026868;43.386564;49.0;World geometric system 1984;Périurbaine;;;;;;;;;;;;;
FR02041;SALON;;01/01/2013;;En service;Impasse Pierre Brossolette;13103;SALON-DE-PROVENCE;ZAG MARSEILLE-AIX (FR93ZAG01);ATMO SUD (05);5.101097;43.639002;82.0;World geometric system 1984;Urbaine;;;;;;;;;;;;;
FR02043;Marignane;;02/02/2018;;En service;2 Rue de Provence;13054;MARIGNANE;ZAG MARSEILLE-AIX (FR93ZAG01);ATMO SUD (05);5.222281;43.4165306;15.0;World geometric system 1984;Urbaine;;;;;;;;;;;;;
FR03006;MARSEILLE RABATAU;;16/12/1981;;En service;93 BOULEVARD RABATAU;13208;MARSEILLE 8E ARRONDISSEMENT;ZAG MARSEILLE-AIX (FR93ZAG01);ATMO SUD (05);5.39736;43.276451;17.0;World geometric system 1984;Urbaine;;;;;;;;;;;;;
